loan_id,amount,tenure,status,start_date,dpd,person_id
LN51772,411111,36,active,2020-06-22,24,P000135
LN88539,345933,24,default,2020-07-22,59,P000136
LN71793,174562,12,default,2023-09-04,83,P000137
LN15932,397051,12,closed,2020-02-13,25,P000138
LN57593,16091,12,closed,2024-06-06,20,P000139
LN71625,487123,24,default,2023-11-18,4,P000140
LN25350,84413,12,default,2023-09-01,55,P000141
LN24422,434758,24,closed,2021-05-24,69,P000142
LN44236,104576,6,default,2021-04-04,56,P000143
LN19196,19510,24,closed,2022-08-20,46,P000144
LN58777,302284,6,closed,2022-06-07,88,P000145
LN40630,154568,12,active,2023-09-26,18,P000146
LN74160,15034,36,active,2021-03-03,67,P000147
LN27575,405393,36,closed,2021-05-26,39,P000148
LN30026,238889,6,default,2021-01-08,62,P000149
LN47510,388275,6,closed,2023-05-14,30,P000150
LN20439,405064,6,active,2023-07-17,70,P000151
LN47921,145357,12,active,2021-09-22,49,P000152
LN88305,100638,6,closed,2023-12-16,7,P000153
LN55689,186815,6,default,2020-08-28,31,P000154
LN50012,239056,12,closed,2024-05-14,1,P000155
LN63995,442000,24,default,2022-10-06,63,P000156
LN23971,443395,6,default,2020-03-27,7,P000157
LN32602,325682,6,active,2023-01-25,72,P000158
LN72226,56381,6,active,2024-12-22,90,P000159
LN23209,212414,36,closed,2024-10-08,0,P000160
LN45564,419664,12,default,2022-08-10,5,P000161
LN58746,232516,24,default,2022-01-07,55,P000162
LN80483,86817,36,closed,2021-12-15,84,P000163
LN60178,259348,24,active,2023-12-10,0,P000164
LN63614,60989,24,closed,2021-02-15,35,P000165
LN66905,261008,6,default,2023-04-08,20,P000166
LN12338,123675,12,active,2020-09-22,4,P000167
LN49982,53244,36,active,2023-03-06,85,P000168
LN43292,137743,6,default,2024-01-26,72,P000169
LN43864,329725,24,default,2023-12-08,3,P000170
LN90840,112395,24,active,2024-06-24,2,P000171
LN43296,312321,6,default,2022-12-08,6,P000172
LN82121,365041,36,closed,2020-09-25,33,P000173
LN43152,62071,24,active,2021-02-02,4,P000174
LN96564,411144,36,default,2020-05-01,6,P000175
LN23134,284214,36,active,2020-06-15,68,P000176
LN42234,64568,12,active,2020-05-21,78,P000177
LN21306,360824,24,active,2023-02-22,8,P000178
LN92442,96659,36,closed,2021-11-18,80,P000179
LN60020,77801,36,closed,2020-04-16,17,P000180
LN26137,61011,36,closed,2023-02-08,78,P000181
LN15610,45507,12,active,2021-09-19,18,P000182
LN74500,129466,6,closed,2020-01-19,89,P000183
LN96213,70134,24,default,2021-02-11,46,P000184
LN47903,397788,36,closed,2024-11-09,13,P000185
LN47648,222746,12,default,2022-03-07,56,P000186
LN88085,95857,24,active,2021-05-07,62,P000187
LN62384,358036,12,active,2023-05-14,89,P000188
LN47827,133363,12,closed,2023-11-24,69,P000189
LN69457,356866,6,closed,2023-10-11,22,P000190
LN89417,262945,24,default,2023-09-01,34,P000191
LN92037,242230,6,closed,2024-08-02,39,P000192
LN91676,36978,12,closed,2021-06-19,13,P000193
LN50268,335013,6,active,2021-12-14,57,P000194
LN24225,67303,6,closed,2021-11-27,32,P000195
LN53296,311946,6,closed,2022-02-10,18,P000196
LN72297,152606,36,closed,2020-10-01,81,P000197
LN55196,320920,24,active,2024-07-17,40,P000198
LN13852,279461,36,active,2022-08-16,86,P000199
LN31729,325384,12,default,2021-09-18,2,P000200
LN70323,487870,36,active,2020-03-12,43,P000201
LN65328,22674,6,active,2023-10-17,68,P000202
LN20754,258372,36,closed,2023-02-26,54,P000203
LN79741,435311,6,active,2024-10-14,35,P000204
LN87487,496602,6,default,2021-06-08,17,P000205
LN36153,213367,24,closed,2021-10-27,80,P000206
LN62072,264234,12,active,2022-01-21,72,P000207
LN74367,45692,12,closed,2024-11-07,83,P000208
LN90621,300245,36,default,2021-09-01,71,P000209
LN43485,284154,36,active,2024-03-20,30,P000210
LN23727,336278,6,closed,2020-01-26,13,P000211
LN65860,295923,12,default,2022-12-13,29,P000212
LN13390,35449,6,default,2022-04-10,35,P000213
LN51544,196406,24,closed,2021-03-26,13,P000214
LN58877,341039,6,default,2020-05-24,14,P000215
LN54138,364468,24,active,2022-06-14,39,P000216
LN31172,492320,12,active,2021-04-01,1,P000217
LN18534,371938,36,closed,2023-07-20,29,P000218
LN31932,227300,24,active,2021-08-24,88,P000219
LN48621,99408,6,closed,2021-05-16,40,P000220
LN36104,18333,24,active,2021-03-08,65,P000221
LN49854,404636,24,active,2022-05-28,79,P000222
LN57864,369126,6,default,2021-01-07,83,P000223
LN59609,12044,12,active,2024-09-18,81,P000224
LN58718,278086,6,closed,2022-01-16,50,P000225
LN16889,427709,24,active,2021-04-11,11,P000226
LN93712,326864,24,default,2020-01-02,80,P000227
LN93612,13352,36,active,2023-11-24,2,P000228
LN94293,309248,6,closed,2021-11-21,47,P000229
LN71669,144905,36,default,2023-04-03,68,P000230
LN64638,142269,24,default,2023-07-07,62,P000231
LN66077,236797,24,closed,2023-06-08,15,P000232
LN72633,240945,36,active,2023-03-26,18,P000233
LN95753,285786,24,default,2020-04-14,74,P000234
LN24536,439235,12,default,2024-08-05,26,P000235
LN24265,189759,36,default,2020-11-17,21,P000236
LN95341,86879,12,closed,2023-07-03,42,P000237
LN47716,123147,36,closed,2024-02-26,8,P000238
LN90168,461310,6,active,2023-03-04,10,P000239
LN80473,79605,36,active,2021-11-11,51,P000240
LN98560,438265,24,default,2021-05-02,10,P000241
LN61859,81434,36,closed,2020-03-02,51,P000242
LN23399,357967,36,default,2023-12-23,71,P000243
LN51625,77936,12,closed,2024-07-16,34,P000244
LN51896,74180,36,closed,2023-04-26,78,P000245
LN16925,412653,36,closed,2022-05-25,47,P000246
LN95745,359927,6,active,2024-03-05,43,P000247
LN66521,484909,6,closed,2022-07-01,28,P000248
LN48504,37902,36,active,2021-07-10,28,P000249
LN51538,18626,6,closed,2024-04-06,77,P000250
LN30750,490572,6,closed,2023-03-08,21,P000251
LN43048,268902,6,default,2021-07-03,82,P000252
LN76200,386205,36,default,2024-10-12,28,P000253
LN27300,468828,24,closed,2024-07-28,40,P000254
LN65281,351419,36,closed,2021-09-24,42,P000255
LN66515,228547,24,default,2020-01-02,18,P000256
LN46608,457276,36,active,2021-05-07,55,P000257
LN52371,424191,36,closed,2023-07-27,87,P000258
LN42523,292620,24,active,2023-12-13,3,P000259
LN97131,425642,36,closed,2021-02-27,66,P000260
LN70855,445421,36,closed,2023-02-14,14,P000261
LN42816,468226,6,active,2020-01-20,76,P000262
LN22652,226318,6,active,2024-02-13,85,P000263
LN12818,324916,36,closed,2023-01-23,50,P000264
LN49335,154093,36,closed,2021-03-11,49,P000265
LN88583,149812,24,default,2020-04-16,16,P000266
LN36890,430199,36,closed,2022-12-15,9,P000267
LN53675,55575,6,closed,2022-05-21,36,P000268
LN86460,430166,6,active,2022-03-09,10,P000269
LN62331,461582,24,closed,2021-11-08,31,P000270
LN79465,416429,24,active,2022-02-07,13,P000271
LN34986,305378,12,closed,2023-05-20,4,P000272
LN99961,459360,24,active,2024-08-16,64,P000273
LN24760,213925,36,default,2021-03-01,31,P000274
LN25635,434525,24,closed,2024-07-19,20,P000275
LN33518,205831,24,active,2021-07-09,15,P000276
LN90820,302200,36,default,2024-09-10,85,P000277
LN48525,106761,6,closed,2023-06-16,26,P000278
LN15995,367374,24,active,2022-07-24,7,P000279
LN37752,108898,24,default,2022-08-24,49,P000280
LN57540,407777,36,default,2024-03-24,10,P000281
LN32842,29310,36,active,2020-02-08,87,P000282
LN53743,467267,24,active,2021-09-25,21,P000283
LN28989,483277,6,closed,2020-07-07,62,P000284
LN52333,307903,24,closed,2022-06-27,43,P000285
LN11876,193260,24,active,2022-07-20,22,P000286
LN19533,466348,36,default,2021-10-28,58,P000287
LN48989,365878,12,closed,2021-01-24,24,P000288
LN67281,18569,24,default,2024-03-01,78,P000289
LN17270,100695,24,active,2021-10-01,2,P000290
LN49826,387093,24,active,2023-12-08,27,P000291
LN29632,106959,6,default,2024-03-07,39,P000292
LN25745,119955,12,default,2024-08-22,47,P000293
LN78758,457240,12,default,2023-02-28,7,P000294
LN44938,326888,6,active,2020-02-07,20,P000295
LN33055,302565,12,active,2020-06-21,49,P000296
LN89255,303006,24,closed,2024-04-04,4,P000297
LN60328,325216,12,default,2023-10-27,87,P000298
LN48090,210245,24,active,2020-11-03,41,P000299
LN12127,78234,6,default,2020-12-09,81,P000300
LN74751,369432,36,default,2022-09-26,49,P000301
LN74747,199976,36,closed,2024-10-14,63,P000302
LN65454,374364,24,default,2023-04-16,48,P000303
LN81680,159549,36,active,2023-08-15,43,P000304
LN56372,304378,6,default,2020-05-01,76,P000305
LN57018,413735,36,default,2024-01-12,18,P000306
LN32565,384363,6,closed,2020-12-24,64,P000307
LN46843,404616,6,default,2024-06-11,80,P000308
LN15092,51025,6,default,2023-02-20,85,P000309
LN53193,138654,24,default,2021-09-17,15,P000310
LN88205,355577,24,default,2024-10-06,13,P000311
LN63073,469143,6,active,2020-09-21,51,P000312
LN90579,383855,36,default,2024-01-08,56,P000313
LN40831,301638,24,active,2024-05-10,57,P000314
LN20912,57252,24,default,2021-12-18,55,P000315
LN10836,471203,6,default,2020-01-02,40,P000316
LN51350,44916,6,active,2022-08-21,14,P000317
LN82719,410091,36,closed,2021-03-08,61,P000318
LN19399,353654,6,closed,2023-11-16,76,P000319
LN67434,271258,36,active,2022-07-25,11,P000320
LN63714,168564,36,closed,2023-03-12,54,P000321
LN36200,382438,24,active,2020-11-09,62,P000322
LN51386,275503,12,active,2023-12-18,22,P000323
LN85414,369939,12,closed,2024-05-27,87,P000324
LN49700,318639,36,default,2023-03-13,65,P000325
LN64571,283520,24,active,2023-10-23,36,P000326
LN11339,413667,36,default,2022-06-15,28,P000327
LN28863,124395,24,default,2022-04-04,18,P000328
LN26664,397296,24,closed,2023-11-13,47,P000329
LN34323,473816,6,active,2023-08-01,32,P000330
LN67224,318183,6,default,2023-03-09,42,P000331
LN19963,499289,24,closed,2022-05-27,42,P000332
LN40363,456384,12,default,2020-05-15,36,P000333
LN82658,239640,36,active,2024-01-24,12,P000334
LN90352,434607,6,default,2021-11-17,88,P000335
LN25576,423467,36,closed,2022-12-26,34,P000336
LN20586,163674,24,closed,2021-02-27,61,P000337
LN53329,45806,12,default,2024-09-26,59,P000338
LN23944,106194,12,closed,2021-09-06,11,P000339
LN51574,432229,12,closed,2023-06-23,76,P000340
LN10135,347299,24,default,2020-02-12,48,P000341
LN19013,481900,36,active,2020-04-11,14,P000342
LN90565,265600,6,active,2022-11-03,2,P000343
LN47527,127406,24,closed,2023-09-06,27,P000344
LN32724,461902,36,closed,2023-09-23,71,P000345
LN39651,263124,36,default,2022-04-23,25,P000346
LN15551,87566,12,default,2022-07-08,49,P000347
LN85454,407952,6,closed,2023-05-20,27,P000348
LN10076,436115,36,closed,2023-11-09,57,P000349
LN29969,401536,36,default,2020-04-18,23,P000350
LN67125,150419,24,active,2024-12-14,28,P000351
LN28615,344674,36,active,2024-12-01,69,P000352
LN84485,444931,12,active,2021-02-01,39,P000353
LN50269,171350,12,closed,2020-03-27,21,P000354
LN52456,449999,36,closed,2021-04-25,41,P000355
LN76939,468658,24,active,2023-11-16,17,P000356
LN89509,179930,24,closed,2023-10-13,70,P000357
LN86765,411871,24,closed,2024-03-13,3,P000358
LN40758,149286,6,closed,2020-04-22,75,P000359
LN17360,16713,12,default,2021-08-16,69,P000360
LN39727,433174,36,closed,2021-10-11,30,P000361
LN25196,177866,36,closed,2024-05-08,75,P000362
LN95923,395698,12,closed,2021-03-12,47,P000363
LN25088,167460,24,closed,2021-05-26,88,P000364
LN71245,459072,36,active,2021-04-18,27,P000365
LN19828,137108,24,default,2024-01-23,74,P000366
LN39542,217252,6,active,2024-12-10,81,P000367
LN41176,93493,6,closed,2020-05-16,20,P000368
LN19113,137828,36,default,2022-12-01,77,P000369
LN94302,469705,6,default,2022-06-28,70,P000370
LN59991,405528,6,active,2024-02-19,72,P000371
LN72278,374072,12,active,2023-06-01,74,P000372
LN66026,78484,12,closed,2024-04-05,16,P000373
LN83447,462677,36,default,2024-11-22,16,P000374
LN76885,465761,6,closed,2020-04-07,87,P000375
LN66819,11435,12,active,2024-12-01,85,P000376
LN39250,469637,36,default,2021-11-20,68,P000377
LN47488,79448,12,closed,2020-07-20,80,P000378
LN33589,122659,6,active,2020-11-12,38,P000379
LN65071,84125,24,closed,2022-11-28,70,P000380
LN38463,118616,6,default,2022-03-01,71,P000381
LN30011,353204,6,default,2020-05-19,70,P000382
LN64100,30772,24,closed,2020-02-25,83,P000383
LN59992,433090,12,default,2021-09-25,14,P000384
LN48462,352018,12,closed,2021-02-01,7,P000385
LN45009,35321,36,active,2023-03-04,24,P000386
LN74631,455160,24,closed,2022-07-27,38,P000387
LN24184,47508,12,default,2022-03-28,86,P000388
LN97583,63901,36,default,2024-03-27,50,P000389
LN65948,153689,24,default,2020-08-07,41,P000390
LN75478,98944,12,default,2020-09-22,24,P000391
LN30612,129800,12,default,2022-12-04,26,P000392
LN63272,124209,24,default,2021-11-01,5,P000393
LN72145,492970,36,active,2020-04-19,53,P000394
LN23429,445839,12,closed,2021-09-27,74,P000395
LN62262,236046,6,active,2021-05-20,71,P000396
LN54923,484877,24,closed,2021-10-11,2,P000397
LN27455,490826,12,closed,2023-06-28,19,P000398
LN90478,89218,24,active,2022-05-06,79,P000399
LN83060,277375,12,active,2024-08-16,74,P000400
LN35128,162668,6,active,2021-12-21,90,P000401
LN97086,330300,6,closed,2022-02-16,38,P000402
LN15178,187147,12,closed,2021-10-07,75,P000403
LN94017,201908,6,closed,2021-10-10,1,P000404
LN79779,390250,24,active,2021-11-11,57,P000405
LN89199,265675,6,default,2022-11-21,45,P000406
LN44568,380060,12,default,2023-05-06,36,P000407
LN76429,336833,12,closed,2023-02-15,74,P000408
LN50576,65404,6,default,2020-08-06,42,P000409
LN11937,133578,6,default,2022-01-18,11,P000410
LN25247,258725,24,default,2024-10-09,55,P000411
LN46969,70457,6,default,2022-12-26,47,P000412
LN30392,446341,6,closed,2020-11-02,77,P000413
LN43934,24343,12,closed,2023-08-19,43,P000414
LN18203,72615,12,closed,2020-03-06,55,P000415
LN94723,66453,36,default,2022-03-25,35,P000416
LN76335,339670,24,default,2024-07-15,35,P000417
LN98810,292788,36,default,2023-01-07,90,P000418
LN90156,214951,36,default,2024-05-09,29,P000419
LN68950,308897,6,default,2021-11-17,70,P000420
LN90697,405985,12,default,2022-11-21,16,P000421
LN13540,191811,12,active,2020-03-12,17,P000422
LN13551,190053,6,closed,2024-07-08,76,P000423
LN84376,490256,6,active,2024-05-08,58,P000424
LN36475,218876,12,active,2024-04-11,9,P000425
LN28301,241805,36,closed,2023-04-17,45,P000426
LN40995,474282,24,closed,2023-05-13,59,P000427
LN26352,460171,24,active,2020-02-28,85,P000428
LN61358,177015,24,default,2024-07-25,18,P000429
LN77962,285003,12,closed,2024-03-12,41,P000430
LN32501,97228,12,active,2020-09-28,22,P000431
LN10890,41165,24,closed,2020-05-08,67,P000432
LN41014,87785,6,default,2022-01-12,11,P000433
LN91493,196096,12,active,2022-08-16,8,P000434
LN95484,323522,36,active,2024-11-26,51,P000435
LN91304,97676,12,default,2021-01-12,51,P000436
LN64465,489730,12,default,2022-12-16,66,P000437
LN14436,489484,24,default,2020-01-13,74,P000438
LN77426,153869,12,closed,2024-05-02,38,P000439
LN79602,391042,12,active,2020-02-21,16,P000440
LN65441,153458,24,closed,2024-09-14,33,P000441
LN56154,245724,36,closed,2021-01-05,25,P000442
LN19100,215373,6,default,2021-11-15,9,P000443
LN15863,390158,6,default,2020-04-05,81,P000444
LN74163,259925,6,default,2020-10-05,88,P000445
LN46224,216000,24,default,2021-11-28,88,P000446
LN47711,146295,24,default,2022-11-02,49,P000447
LN15021,191950,6,closed,2024-11-24,84,P000448
LN65103,388483,36,default,2022-04-17,36,P000449
LN46651,210508,12,default,2023-01-09,77,P000450
LN90117,324614,36,active,2021-09-06,89,P000451
LN29527,356192,24,closed,2024-06-06,75,P000452
LN28592,303355,6,default,2024-06-24,3,P000453
LN84087,456170,24,closed,2022-04-15,11,P000454
LN65095,18530,36,closed,2021-03-18,49,P000455
LN32053,396506,12,default,2021-04-28,33,P000456
LN93848,416482,12,active,2021-04-18,3,P000457
LN28170,282055,24,default,2021-05-04,18,P000458
LN68313,34047,12,active,2024-08-19,14,P000459
LN93731,386117,12,closed,2024-10-16,49,P000460
LN15794,73630,24,closed,2020-09-01,40,P000461
LN55164,57993,36,default,2024-11-24,0,P000462
LN47703,459927,24,active,2021-12-14,46,P000463
LN24977,225888,36,closed,2021-10-19,56,P000464
LN81133,482180,36,closed,2022-05-23,71,P000465
LN81815,414081,24,closed,2021-10-10,6,P000466
LN65644,449988,24,closed,2023-09-10,56,P000467
LN17100,494641,12,closed,2020-10-14,33,P000468
LN23684,346806,12,active,2022-02-25,31,P000469
LN87502,42144,12,closed,2023-08-24,12,P000470
LN13664,356094,12,active,2020-02-25,49,P000471
LN33934,74678,6,active,2023-10-26,84,P000472
LN64052,249234,36,active,2021-02-17,73,P000473
LN52200,359825,12,active,2023-09-28,17,P000474
LN61647,242883,24,active,2024-01-05,70,P000475
LN33011,238970,6,closed,2024-03-01,65,P000476
LN34323,44598,36,default,2023-02-26,4,P000477
LN25515,257199,24,closed,2024-10-03,16,P000478
LN84604,300930,36,active,2021-07-28,73,P000479
LN71043,235382,12,active,2022-04-20,14,P000480
LN42663,108820,36,active,2021-11-23,40,P000481
LN77664,102656,6,closed,2020-02-14,24,P000482
LN54134,36258,36,active,2020-07-19,53,P000483
LN30053,424916,12,default,2021-08-19,88,P000484
LN55253,40750,12,default,2023-08-08,5,P000485
LN19586,242056,12,active,2023-07-14,58,P000486
LN33709,312476,24,closed,2023-12-26,24,P000487
LN78550,267375,6,active,2020-08-26,16,P000488
LN64007,437273,36,default,2021-10-14,49,P000489
LN66773,244996,12,active,2021-07-12,16,P000490
LN41625,39435,24,active,2023-09-05,89,P000491
LN31124,161357,6,default,2021-11-08,11,P000492
LN88532,25509,12,closed,2022-09-23,12,P000493
LN65303,114859,6,closed,2023-02-01,20,P000494
LN66970,393298,6,closed,2022-06-16,89,P000495
LN44908,316368,24,active,2021-12-12,13,P000496
LN36876,23004,36,active,2020-01-23,73,P000497
LN58205,74747,36,closed,2021-03-21,15,P000498
LN41866,77746,24,active,2023-02-13,74,P000499
LN98968,450010,24,default,2021-03-16,75,P000500
LN57091,107337,24,active,2021-04-18,76,P000501
LN70631,133267,12,active,2024-08-11,24,P000502
LN50984,158498,12,active,2024-06-10,1,P000503
LN57123,185782,36,closed,2024-01-04,24,P000504
LN62110,321629,24,active,2022-10-07,71,P000505
LN87809,220999,36,active,2020-06-08,23,P000506
LN26361,326552,6,active,2023-08-21,48,P000507
LN51569,56201,12,closed,2021-10-15,81,P000508
LN34203,316730,12,closed,2020-04-05,63,P000509
LN69151,107926,24,default,2024-10-12,76,P000510
LN38352,241139,6,active,2024-01-04,56,P000511
LN33995,76082,24,active,2021-04-04,30,P000512
LN18673,151119,24,closed,2020-07-04,17,P000513
LN33038,432640,6,default,2023-11-09,63,P000514
LN30750,116660,12,active,2020-03-11,89,P000515
LN43057,119157,36,active,2024-10-20,26,P000516
LN70681,122189,36,closed,2021-11-17,54,P000517
LN64851,489988,36,default,2021-05-07,81,P000518
LN33470,183004,12,closed,2020-07-06,67,P000519
LN84360,66811,6,default,2023-07-12,87,P000520
LN72468,422846,36,active,2021-11-08,13,P000521
LN24666,116751,36,active,2020-05-08,27,P000522
LN55546,66822,24,active,2024-05-24,50,P000523
LN52013,116180,36,default,2022-05-06,51,P000524
LN40625,158675,12,default,2022-07-13,18,P000525
LN78271,56141,6,closed,2020-07-16,51,P000526
LN70713,60414,12,closed,2020-10-14,38,P000527
LN56437,417436,12,default,2024-08-02,31,P000528
LN42039,101113,6,closed,2021-12-23,62,P000529
LN64774,380574,12,default,2022-04-28,30,P000530
LN63644,390835,24,closed,2024-12-06,18,P000531
LN63732,307294,36,default,2020-06-01,62,P000532
LN82155,111136,24,closed,2020-03-16,25,P000533
LN62727,412853,12,default,2022-09-01,19,P000534
LN34027,65223,6,default,2020-07-09,26,P000535
LN59864,83110,24,closed,2022-03-09,87,P000536
LN98155,484935,36,default,2020-12-12,19,P000537
LN54662,286778,24,active,2022-08-11,28,P000538
LN10647,125747,12,default,2020-04-05,22,P000539
LN77723,420025,24,closed,2024-12-21,35,P000540
LN42256,368565,6,active,2023-12-11,6,P000541
LN95330,387894,36,closed,2023-11-13,88,P000542
LN70360,450022,12,active,2022-06-24,38,P000543
LN11119,171872,24,active,2023-01-02,6,P000544
LN76256,452904,24,closed,2023-04-04,11,P000545
LN64514,295833,24,active,2020-05-12,4,P000546
LN51487,66186,6,default,2021-11-03,45,P000547
LN60286,92676,36,closed,2024-01-17,36,P000548
LN95132,142088,12,active,2020-03-26,90,P000549
LN45613,238991,12,default,2021-04-16,28,P000550
